"","x"
"1188","0"
"1189","2"
"1190","0"
"1191","3"
"1192","3"
"1193","0"
"1194","8"
"1195","8"
"1196","1"
"1197","3"
"1198","0"
"1199","5"
"1200","2"
"1201","2"
"1202","1"
"1203","0"
"1204","4"
"1205","2"
"1206","1"
"1207","1"
"1208","0"
"1209","4"
"1210","0"
"1211","2"
"1212","3"
"1213","0"
"1214","2"
"1215","3"
"1216","1"
"1217","3"
"1218","2"
"1219","1"
"1220","2"
"1221","1"
"1222","1"
"1223","2"
"1224","1"
"1225","2"
"1226","3"
"1227","1"
"1228","0"
"1229","3"
"1230","10"
"1231","0"
"1232","1"
"1233","12"
"1234","2"
"1235","0"
"1236","2"
"1237","2"
"1238","3"
"1239","0"
"1240","3"
"1241","1"
"1242","3"
"1243","2"
"1244","1"
"1245","1"
"1246","11"
"1247","6"
"1248","1"
"1249","0"
"1250","2"
"1251","3"
"1252","1"
"1253","3"
"1254","3"
"1255","0"
"1256","3"
"1257","0"
"1258","3"
"1259","0"
"1260","4"
"1261","3"
"1262","5"
"1263","8"
"1264","0"
"1265","0"
"1266","3"
"1267","2"
"1268","3"
"1269","1"
"1270","1"
"1271","1"
"1272","2"
"1273","8"
"1274","0"
"1275","1"
"1276","1"
"1277","6"
"1278","2"
"1279","3"
"1280","8"
"1281","3"
"1282","9"
"1283","5"
"1284","0"
"1285","3"
"1286","6"
"1287","0"
"1288","0"
"1289","2"
"1290","4"
"1291","0"
"1292","1"
"1293","2"
"1294","8"
"1295","3"
"1296","1"
"1297","8"
"1298","1"
"1299","0"
"1300","8"
"1301","3"
"1302","2"
"1303","3"
"1304","0"
"1305","3"
"1306","1"
"1307","0"
"1308","10"
"1309","0"
"1310","0"
"1311","3"
"1312","0"
"1313","0"
"1314","0"
"1315","0"
"1316","6"
"1317","2"
"1318","1"
"1319","4"
"1320","0"
"1321","3"
"1322","5"
"1323","3"
"1324","0"
"1325","0"
"1326","2"
"1327","1"
"1328","2"
"1329","5"
"1330","0"
"1331","2"
"1332","11"
"1333","5"
"1334","0"
"1335","5"
"1336","4"
"1337","4"
"1338","2"
"1339","4"
"1340","5"
"1341","2"
"1342","2"
"1343","2"
"1344","2"
"1345","5"
"1346","2"
"1347","5"
"1348","0"
"1349","0"
"1350","0"
"1351","7"
"1352","2"
"1353","1"
"1354","0"
"1355","4"
"1356","0"
"1357","2"
"1358","0"
"1359","0"
"1360","7"
"1361","0"
"1362","0"
"1363","4"
"1364","2"
"1365","0"
"1366","2"
"1367","5"
"1368","0"
"1369","5"
"1370","1"
"1371","4"
"1372","4"
"1373","4"
"1374","3"
"1375","1"
"1376","4"
"1377","2"
"1378","0"
"1379","0"
"1380","7"
"1381","2"
"1382","0"
"1383","5"
"1384","2"
"1385","0"
"1386","3"
"1387","1"
"1388","2"
"1389","0"
"1390","0"
"1391","13"
"1392","2"
"1393","5"
"1394","4"
"1395","6"
"1396","0"
"1397","2"
"1398","3"
"1399","2"
"1400","3"
"1401","2"
"1402","0"
"1403","8"
"1404","2"
"1405","0"
"1406","6"
"1407","9"
"1408","11"
"1409","0"
"1410","8"
"1411","4"
"1412","4"
"1413","3"
"1414","2"
"1415","1"
"1416","1"
"1417","2"
"1418","2"
"1419","5"
"1420","0"
"1421","0"
"1422","4"
"1423","0"
"1424","5"
"1425","5"
"1426","0"
"1427","2"
"1428","0"
"1429","12"
"1430","2"
"1431","5"
"1432","11"
"1433","3"
"1434","3"
"1435","0"
"1436","3"
"1437","2"
"1438","4"
"1439","2"
"1440","5"
"1441","3"
"1442","4"
"1443","4"
"1444","4"
"1445","1"
"1446","0"
"1447","0"
"1448","0"
"1449","4"
"1450","4"
"1451","0"
"1452","1"
"1453","6"
"1454","0"
"1455","0"
"1456","2"
"1457","4"
"1458","0"
"1459","5"
"1460","0"
"1461","0"
"1462","3"
"1463","0"
"1464","0"
"1465","0"
"1466","2"
"1467","0"
"1468","0"
"1469","1"
"1470","1"
"1471","0"
"1472","4"
"1473","11"
"1474","0"
"1475","9"
"1476","1"
"1477","2"
"1478","0"
"1479","3"
"1480","0"
"1481","2"
"1482","12"
"1483","0"
"1484","3"
"1485","10"
"1486","2"
"1487","0"
"1488","9"
"1489","2"
"1490","0"
"1491","1"
"1492","1"
"1493","1"
"1494","0"
"1495","0"
"1496","1"
"1497","1"
"1498","0"
"1499","3"
"1500","1"
"1501","2"
"1502","4"
"1503","3"
"1504","0"
"1505","0"
"1506","6"
"1507","0"
"1508","0"
"1509","3"
"1510","0"
"1511","5"
"1512","4"
"1513","0"
"1514","0"
"1515","3"
